,C594
4420,67
4423,281
4424,84
4428,115
4429,529
4432,249
4434,159
4436,273
4439,27
4440,146
4445,329
4447,1
4451,448
4453,384
4460,337
4463,420
4468,229
4476,74
4477,27
4478,404
4484,13
4487,319
4488,280
4489,95
4493,530
4495,291
4496,18
4497,531
4498,87
4500,29
4502,60
4503,462
4506,16
4509,495
4512,532
4515,18
4517,48
4518,48
4528,120
4530,359
4531,27
4532,326
4537,306
4540,143
4545,533
4546,356
4548,288
4550,373
4551,47
4554,363
4555,534
4557,122
4559,535
4567,536
4573,48
4576,121
4579,47
4586,162
4590,112
4591,456
4602,178
4606,487
4609,6
4614,400
4615,427
4616,1
4618,521
4622,26
4624,487
4625,64
4627,537
4628,85
4629,380
4630,481
4632,48
4633,293
4634,50
4636,406
4639,87
4640,219
4642,421
4643,273
4644,499
4648,129
4649,37
4651,375
4654,132
4656,59
4657,18
4659,17
4661,37
4663,41
4664,1
4666,41
4679,220
4680,27
4683,224
4684,384
4685,520
4687,27
4688,27
4690,1
4691,47
4692,142
4695,1
4697,9
4698,538
4707,102
4708,377
4709,523
4710,24
4712,173
4717,322
4718,293
4724,539
4725,426
4728,168
4729,168
4733,1
4734,18
4747,54
4749,507
4753,450
4756,540
4762,24
4763,101
4764,1
4766,207
4768,1
4771,280
4772,463
4775,53
4776,220
4778,220
4779,541
4781,238
4782,110
4784,17
4785,27
4795,112
4797,18
4799,200
4804,468
4806,86
4809,116
4815,11
4816,18
4820,339
4821,1
4824,1
4825,21
4826,30
4827,369
4828,326
4830,400
4833,542
4834,13
4835,1
4836,60
4838,508
4839,1
4842,209
4848,266
4849,35
4862,16
4864,352
4866,498
4869,380
4871,16
4872,27
4873,122
4878,289
4879,369
4880,409
4881,421
4888,53
4889,18
4892,362
4894,387
4896,1
4897,56
4898,1
4899,173
4900,327
4904,87
4905,27
4912,1
4913,191
4916,154
4919,335
4920,101
4925,269
4926,110
4928,432
4932,238
4937,499
4941,108
4943,60
4945,151
4950,339
4956,298
4957,18
4959,66
4960,48
4964,121
4965,371
4966,157
4969,140
4972,543
4973,27
4974,139
4978,10
4981,507
4982,517
4984,95
4985,173
4986,4
4989,208
4990,269
4991,139
4992,56
4993,244
4995,544
4996,13
4997,13
4998,53
4999,535
5000,84
5006,199
5007,1
5015,1
5016,1
5017,321
5020,540
5023,196
5026,222
5027,4
5028,1
5032,1
5033,328
5034,321
5039,387
5040,82
5044,274
5045,365
5048,535
5050,13
5053,152
5055,242
5056,15
5060,444
5061,545
5062,399
5064,101
5066,242
5070,439
5071,27
5072,171
5073,369
5074,255
5075,146
5078,1
5081,287
5082,8
5083,13
5084,205
5086,125
5088,309
5091,473
5093,477
5096,501
5097,350
5105,77
5106,409
5107,101
5109,1
5110,2
5116,377
5118,402
5121,91
5122,324
5125,18
5127,151
5128,527
5133,1
5135,43
5139,133
5146,534
5148,372
5150,481
5155,48
5156,430
5157,294
5160,79
5162,546
5167,189
5171,27
5174,133
5175,406
5176,181
5177,299
5178,67
5180,512
5189,1
5193,151
5195,467
5202,18
5208,62
5212,173
5217,303
5218,48
5225,48
5227,547
5229,171
5230,39
5235,29
5236,181
5237,424
5238,395
5239,137
5242,307
5243,548
5249,350
5253,48
5259,387
5264,68
5265,68
5268,322
5269,181
5270,106
5272,214
5274,549
5275,550
5276,282
5279,160
5280,374
5284,27
5287,461
5294,125
5298,395
5299,27
5301,282
5302,551
5303,318
5307,76
5311,27
5312,27
5313,132
5314,552
5315,453
5316,27
5317,27
5318,473
5324,27
5326,27
5327,27
5329,27
5330,27
5331,27
5332,139
5336,450
5337,27
5340,472
5347,27
5349,553
5351,553
5352,553
5354,186
5355,465
5357,1
5359,27
5363,1
5365,260
5366,106
5367,79
5368,91
5369,128
5370,456
5372,116
5375,352
5377,271
5378,530
5383,301
5384,502
5385,512
5386,337
5387,351
5388,363
5390,511
5392,81
5394,75
5395,13
5400,187
5401,411
5403,373
5405,466
5406,48
5407,373
5411,530
5413,533
5414,181
5416,199
5423,69
5424,275
5426,53
5427,320
5428,67
5430,54
5432,328
5435,554
5436,548
5437,60
5438,60
5439,27
5440,110
5442,99
5447,190
5448,403
5453,405
5459,233
5460,48
5461,27
5465,41
5466,384
5468,337
5472,34
5475,1
5477,1
5479,328
5480,185
5488,291
5492,555
5493,284
5497,352
5498,556
5500,524
5501,376
5507,162
5510,81
5513,200
5519,237
5520,160
5525,81
5528,557
5529,399
5530,371
5533,306
5534,1
5537,1
5539,101
5548,342
5549,1
5551,123
5553,27
5557,8
5558,27
5559,27
5560,159
5561,482
5562,220
5563,497
5572,18
5576,274
5579,302
5581,396
5584,558
5588,62
5591,383
5596,18
5600,420
5602,27
5605,559
5608,27
5609,27
5610,401
5613,127
5619,1
5621,525
5624,560
5627,94
5628,352
5632,281
5633,1
5634,200
5635,454
5640,315
5642,219
5643,196
5646,271
5647,561
5650,28
5652,293
5654,154
5661,82
5662,82
5665,433
5671,48
5677,162
5684,459
5686,165
5689,35
5697,101
5698,200
5700,383
5702,354
5703,47
5706,40
5707,95
5708,53
5713,27
5722,512
5724,211
5725,129
5726,62
5727,206
5729,494
5730,411
5733,27
5734,367
5735,225
5736,18
5739,13
5744,181
5748,381
5752,143
5756,56
5765,306
5772,132
5775,529
5777,27
5780,23
5782,534
5783,155
5786,1
5789,23
5791,459
5793,128
5795,237
5805,167
5810,1
5813,214
5815,18
5818,1
5819,562
5825,132
5828,494
5830,1
5831,563
5833,155
5835,563
5845,48
5848,418
5853,498
5856,233
5861,171
5862,250
5863,16
5868,27
5870,564
5871,29
5873,358
5874,126
5876,60
5880,248
5885,1
5886,62
5888,351
5890,438
5896,550
5897,565
5901,28
5902,52
5904,297
5907,526
5910,340
5912,561
5913,221
5914,21
5916,279
5920,360
5923,251
5924,471
5926,237
5927,100
5928,392
5930,257
5937,240
5938,562
5939,157
5941,91
5942,390
5943,250
5948,241
5949,181
5951,310
5953,279
5955,452
5959,258
5965,171
5967,509
5974,171
5975,251
5979,27
5981,566
5982,27
5983,164
5985,353
5986,171
5988,446
5992,27
5994,27
5997,27
5998,141
6002,380
6003,403
6006,149
6007,146
6008,81
6011,567
6013,462
