,C821
3147,629
3148,630
3149,196
3150,513
3152,418
3155,631
3157,130
3158,191
3160,348
3161,173
3162,481
3164,210
3165,632
3166,453
3167,633
3168,634
3170,449
3171,635
3173,636
3174,45
3175,202
3176,263
3177,11
3179,223
3180,303
3184,306
3187,591
3188,142
3192,637
3193,63
3196,21
3197,133
3198,638
3199,286
3200,488
3202,20
3205,198
3206,639
3207,248
3208,150
3209,67
3210,155
3213,640
3217,625
3219,451
3222,239
3224,113
3225,63
3228,641
3229,617
3232,96
3234,44
3235,541
3236,168
3238,192
3240,642
3242,15
3244,643
3245,546
3246,96
3249,644
3251,96
3252,76
3255,645
3256,101
3265,173
3268,287
3271,119
3276,469
3277,63
3278,181
3279,507
3280,526
3283,442
3285,532
3286,595
3288,646
3290,297
3291,118
3293,647
3294,111
3295,244
3297,648
3300,552
3304,376
3305,649
3307,469
3309,223
3312,482
3313,10
3317,20
3319,650
3320,310
3322,651
3324,171
3327,63
3332,63
3338,186
3342,403
3344,635
3346,361
3349,77
3350,401
3352,63
3358,239
3360,54
3362,63
3364,500
3365,134
3366,314
3367,389
3370,652
3374,67
3376,53
3378,70
3380,67
3386,202
3387,238
3389,653
3390,20
3391,12
3392,297
3395,142
3396,21
3398,654
3399,97
3403,60
3405,488
3407,424
3409,655
3411,628
3412,56
3413,45
3414,656
3415,657
3417,36
3422,150
3430,483
3433,404
3434,163
3437,76
3438,658
3441,118
3443,142
3445,21
3447,420
3448,54
3450,533
3451,659
3452,168
3453,660
3454,120
3455,40
3457,257
3459,63
3463,403
3465,25
3466,480
3467,614
3469,601
3473,101
3474,20
3476,25
3478,172
3481,661
3482,643
3483,10
3485,166
3486,545
3489,92
3491,43
3496,568
3497,41
3498,96
3499,199
3501,67
3502,585
3504,25
3505,25
3506,120
3507,662
3509,173
3510,136
3514,663
3516,227
3520,20
3521,13
3523,41
3526,166
3527,254
3528,664
3529,173
3530,173
3531,665
3536,507
3537,508
3540,86
3544,666
3547,336
3549,258
3550,80
3556,120
3557,204
3559,667
3561,168
3562,7
3563,668
3566,63
3567,385
3568,443
3572,102
3574,342
3576,149
3578,53
3579,242
3581,21
3582,21
3583,669
3586,27
3589,339
3590,20
3591,670
3593,575
3596,664
3598,671
3599,671
3601,63
3602,191
3603,646
3607,672
3610,234
3611,157
3614,514
3615,163
3616,228
3619,305
3620,34
3622,220
3623,63
3624,579
3625,527
3626,177
3627,673
3628,229
3630,96
3631,163
3632,424
3635,20
3636,287
3638,491
3639,674
3642,63
3644,112
3646,652
3648,21
3651,535
3652,226
3657,636
3658,636
3662,476
3663,497
3666,21
3667,15
3669,7
3670,657
3671,440
3674,605
3675,302
3679,102
3683,675
3686,98
3687,107
3689,557
3691,87
3692,503
3693,676
3694,128
3695,168
3700,102
3702,71
3703,476
3704,210
3705,673
3706,677
3708,461
3709,63
3711,248
3714,672
3715,678
3716,34
3718,474
3719,122
3720,37
3721,254
3722,533
3724,679
3727,680
3728,681
3730,390
3731,682
3732,184
3733,658
3735,34
3737,123
3739,291
3741,253
3742,18
3743,142
3745,683
3747,167
3749,167
3750,82
3751,63
3752,97
3755,196
3757,63
3758,21
3764,63
3768,636
3771,22
3772,18
3773,78
3774,34
3775,14
3781,1
3784,305
3785,456
3788,15
3791,630
3792,684
3793,14
3794,685
3795,63
3802,413
3804,165
3806,342
3813,385
3817,379
3820,318
3822,610
3823,20
3824,473
3825,444
3826,318
3827,20
3828,285
3830,557
3831,686
3832,495
3834,349
3835,396
3836,624
3837,208
3838,63
3839,687
3840,688
3841,315
3843,445
3844,67
3845,63
3849,413
3850,350
3851,198
3852,20
3853,498
3854,37
3856,191
3857,320
3862,142
3863,689
3864,446
3867,198
3871,221
3872,681
3873,255
3874,118
3878,246
3880,52
3881,305
3885,449
3887,141
3888,690
3889,370
3890,117
3893,290
3895,691
3897,86
3899,142
3900,142
3901,178
3902,296
3903,386
3905,267
3906,196
3907,692
3909,346
3911,48
3914,305
3915,147
3916,89
3920,680
3921,468
3922,25
3923,693
3925,240
3927,194
3929,34
3930,694
3931,63
3932,63
3934,239
3935,695
3942,696
3943,34
3946,490
3950,86
3955,223
3956,31
3957,172
3958,697
3959,316
3960,698
3961,687
3962,557
3963,498
3964,369
3965,699
3966,318
3967,700
3968,511
3969,63
3970,701
3971,702
3973,703
3976,142
3978,20
3979,63
3980,63
3981,704
3982,34
3985,490
3986,214
3987,383
3994,296
3997,182
3999,63
4001,86
4002,25
4004,376
4006,102
4007,492
4008,705
4010,209
4011,34
4012,524
4013,525
4014,407
4016,329
4017,706
4019,254
4021,86
4022,118
4030,254
4033,420
4037,78
4038,166
4039,282
4040,153
4041,360
4042,596
4045,273
4049,619
4050,697
4051,20
4052,699
4053,63
4056,707
4062,290
4063,160
4065,494
4066,457
4068,568
4069,43
4072,118
4075,60
4077,708
4078,613
4081,305
4083,190
4084,102
4089,318
4090,317
4092,43
4093,20
4096,557
4097,369
4098,368
4099,25
4100,350
4103,707
4107,459
4110,396
4112,336
4113,336
4115,281
4117,338
4119,426
4120,709
4122,683
4123,41
4124,381
4125,571
4129,55
4132,67
4133,710
4136,578
4137,462
4139,173
4140,253
4142,14
4145,443
4146,711
4147,173
4150,277
4151,42
4153,712
4156,63
4158,6
4161,713
4163,102
4166,210
4168,96
4169,714
4171,61
4172,34
4174,685
4177,715
4178,175
4180,204
4182,716
4183,65
4184,701
4186,717
4190,539
4191,117
4192,20
4193,409
4195,718
4198,339
4199,63
4200,21
4201,131
4207,243
4208,719
4211,118
4212,720
4217,492
4219,406
4220,18
4221,16
4222,721
4225,460
4228,48
4231,30
4233,360
4235,20
4237,21
4239,58
4240,722
4242,723
4243,280
4244,51
4246,360
4247,485
4249,76
4250,343
4252,56
4255,195
4257,96
4258,21
4259,642
4260,262
4261,351
4265,552
4266,724
4267,96
4269,80
4273,221
4277,147
4281,33
4282,243
4283,725
4284,372
4288,21
4293,240
4304,712
4306,441
4307,142
4308,726
4310,21
4311,239
4312,420
4313,232
4314,21
4315,15
4316,176
4317,21
4318,219
4320,240
4322,563
4323,468
4325,671
4326,26
4327,235
4328,549
4330,543
4332,118
4333,727
4335,25
4336,167
4337,10
4341,367
4344,352
4347,60
4356,34
4358,34
4361,456
4366,543
4367,196
4368,56
4375,668
4377,336
4379,234
4382,705
4384,120
4386,27
4388,117
4389,163
4393,281
4397,317
4399,655
4404,21
4407,63
4410,195
4416,163
4425,60
4427,34
4428,169
4429,728
4431,85
4432,331
4433,412
4435,96
4437,302
4438,55
4441,198
4442,692
4443,209
4444,67
4447,455
4448,63
4449,142
4450,524
4451,581
4452,198
4455,332
4456,142
4457,515
4459,34
4461,96
4462,63
4467,264
4469,704
4470,102
4471,628
4472,729
4474,730
4476,142
4479,21
4482,34
4485,63
4488,350
4490,422
4492,731
4494,118
4498,114
4499,290
4502,578
4503,424
4504,96
4505,10
4506,76
4507,101
4508,10
4510,2
4511,732
4513,363
4514,451
4516,642
4517,21
4518,21
4520,431
4521,114
4522,690
4523,733
4524,160
4525,734
4526,230
4527,67
4534,21
4536,297
4538,173
4539,353
4541,160
4542,259
4543,166
4547,313
4549,264
4553,22
4556,28
4557,378
4558,22
4559,56
4560,676
4561,30
4565,112
4566,76
4568,113
4569,314
4570,112
4571,96
4572,21
4574,56
4575,14
4576,419
4577,254
4578,223
4581,662
4582,152
4583,363
4585,236
4588,489
4589,102
4592,21
4593,18
4594,460
4595,183
4597,111
4598,63
4599,285
4600,285
4601,538
4603,32
4605,203
4607,735
4610,163
4611,120
4613,63
4614,163
4619,25
4620,25
4623,10
4626,424
4632,21
4635,220
4637,431
4638,674
4641,106
4645,155
4647,49
4650,10
4651,63
4653,732
4654,97
4655,121
4656,70
4659,424
4660,328
4662,651
4663,651
4665,736
4667,24
4668,96
4670,482
4671,484
4672,96
4674,101
4676,482
4678,605
4681,497
4686,191
4687,572
4689,51
4690,51
4693,441
4694,545
4695,18
4699,286
4701,737
4702,559
4703,70
4706,82
4707,149
4712,118
4714,63
4715,41
4716,118
4717,102
4720,343
4721,733
4722,177
4731,196
4733,63
4734,102
4735,568
4737,727
4739,222
4742,721
4744,351
4745,56
4746,126
4749,738
4752,400
4758,286
4759,142
4761,11
4765,260
4766,175
4767,96
4770,76
4774,514
4775,60
4777,185
4780,142
4786,427
4787,550
4788,76
4789,514
4790,639
4792,223
4794,243
4798,100
4802,53
4805,402
4807,67
4810,172
4811,34
4812,408
4813,221
4814,76
4816,102
4818,513
4819,244
4822,569
4823,379
4824,51
4825,27
4827,160
4829,163
4830,163
4831,25
4832,63
4834,362
4839,51
4841,670
4844,245
4846,482
4847,10
4850,650
4851,221
4852,420
4853,21
4854,482
4855,485
4856,188
4857,242
4858,666
4860,643
4861,112
4863,628
4865,482
4867,670
4868,96
4870,274
4871,76
4872,512
4873,166
4874,21
4876,279
4882,191
4885,104
4890,7
4895,649
4897,65
4899,118
4901,739
4902,20
4904,114
4910,228
4915,351
4917,16
4918,63
4919,457
4923,40
4924,718
4927,128
4930,102
4931,708
4933,248
4934,11
4935,232
4936,63
4938,657
4939,664
4940,20
4941,67
4942,20
4943,20
4944,67
4947,740
4948,286
4949,741
4951,61
4955,468
4956,373
4958,704
4959,669
4968,43
4970,392
4976,92
4977,742
4979,441
4980,743
4983,198
4987,65
4991,402
4996,120
4997,120
4998,295
4999,56
5000,56
5001,434
5002,136
5004,160
5005,242
5007,122
5009,33
5010,570
5011,744
5016,51
5021,342
5022,20
5023,55
5024,719
5025,534
5030,166
5031,334
5035,21
5038,290
5041,745
5043,163
5046,63
5047,575
5054,20
5055,67
5057,290
5058,102
5066,67
5068,374
5069,698
5071,63
5073,160
5075,198
5076,640
5077,63
5085,142
5086,197
5087,63
5089,311
5090,610
5092,1
5094,1
5095,240
5099,703
5101,275
5102,22
5104,191
5114,548
5117,3
5119,372
5120,130
5124,118
5126,60
5127,426
5130,175
5131,118
5133,122
5137,122
5138,34
5139,167
5140,295
5141,746
5142,174
5143,404
5144,53
5145,252
5148,458
5149,747
5151,108
5152,180
5153,178
5154,240
5157,586
5159,748
5161,43
5164,56
5165,191
5166,411
5167,142
5168,349
5169,527
5170,239
5172,139
5179,230
5183,231
5185,425
5186,254
5187,706
5190,21
5191,118
5192,28
5194,365
5196,398
5200,18
5201,742
5202,25
5203,545
5204,336
5205,117
5206,145
5207,161
5208,118
5210,665
5211,290
5213,505
5214,578
5215,675
5218,21
5219,55
5221,172
5222,361
5223,351
5228,173
5233,21
5234,123
5237,740
5241,367
5244,160
5246,190
5248,629
5250,471
5251,151
5252,749
5253,21
5254,86
5256,290
5258,122
5263,638
5267,644
5268,406
5276,353
5278,18
5282,20
5283,196
5285,695
5286,20
5288,20
5289,350
5290,201
5291,697
5292,350
5293,413
5295,63
5296,371
5297,421
5300,350
5304,689
5305,34
5307,63
5308,311
5316,750
5317,443
5320,63
5321,142
5322,751
5324,63
5326,63
5328,20
5330,63
5332,209
5333,223
5334,752
5335,209
5337,753
5338,626
5339,350
5341,34
5342,328
5344,20
5345,186
5346,265
5350,209
5353,30
5356,82
5358,633
5359,544
5360,729
5362,183
5365,296
5368,130
5370,731
5371,156
5373,629
5374,754
5377,642
5379,659
5382,352
5387,15
5388,15
5389,21
5390,102
5391,532
5395,63
5396,21
5399,163
5402,577
5404,234
5408,39
5409,737
5410,114
5412,476
5416,191
5417,123
5418,532
5419,682
5420,502
5421,386
5423,81
5429,286
5431,427
5433,725
5434,142
5437,20
5438,357
